jahr,hauptgruppe,untergruppe,nfr,thg,thg_agg,emission,quelle,einheit,einheit_lang
1990,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1991,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1992,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1993,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1994,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1995,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1996,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1997,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1998,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
1999,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2000,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2001,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2002,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2003,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2004,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2005,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
2006,Abwasser und Abfall,Abfalldeponie,5A,CO2,CO2eq,0,Region,t/a,Tonnen pro Jahr
